List of Pinball Machines

Title                                              Manufacturer                              Release Date
Circus                                             Gottlieb                                  June 1980
The Empire Strikes Back                            Hankin                                    June 1980
Mystic                                             Bally                                     June 1980
Panthera                                           Gottlieb                                  June 1980
Pinball Lizard                                     GamePlan                                  June 1980
Quicksilver                                        Stern Electronics                         June 1980
Hotdoggin'                                         Bally                                     July 1980
Scorpion                                           Williams                                  July 1980
Viking                                             Bally                                     July 1980
Counterforce                                       Gottlieb                                  August 1980
Flight 2000                                        Stern Electronics                         August 1980
Star Gazer                                         Stern Electronics                         August 1980
Skateball                                          Bally                                     September 1980
Space Shuttle                                      Zaccaria                                  September 1980
Alien Poker                                        Williams                                  October 1980
James Bond 007                                     Gottlieb                                  October 1980
Star Race                                          Gottlieb                                  October 1980
Algar                                              Williams                                  November 1980
Black Knight                                       Williams                                  November 1980
Frontier                                           Bally                                     November 1980
Xenon                                              Bally                                     November 1980
Asteroid Annie and the Aliens                      Gottlieb                                  December 1980
Attack                                             Playmatic                                 December 1980
Black Fever                                        Playmatic                                 December 1980
Nine Ball                                          Stern Electronics                         December 1980
Time Line                                          Gottlieb                                  December 1980
Cavaleiro Negro                                    Taito of Brazil                           1981
Freefall                                           Stern Electronics                         January 1981
Sure Shot                                          Taito of Brazil                           1981
Flash Gordon                                       Bally                                     February 1981
Force II                                           Gottlieb                                  February 1981
Jungle Lord                                        Williams                                  February 1981
Lightning                                          Stern Electronics                         March 1981
Mars God of War                                    Gottlieb                                  March 1981
Pink Panther                                       Gottlieb                                  March 1981
Earth Wind Fire                                    Zaccaria                                  April 1981
Eight Ball Deluxe                                  Bally                                     April 1981
Embryon                                            Bally                                     June 1981
Fireball II                                        Bally                                     June 1981
Solar Fire                                         Williams                                  July 1981
Fathom                                             Bally                                     August 1981
Split Second                                       Stern Electronics                         August 1981
Barracora                                          Williams                                  September 1981
Locomotion                                         Zaccaria                                  September 1981
Medusa                                             Bally                                     September 1981
